RecordedAtTime,MonitoringRef,LineRef,DirectionRef,VehicleRef,OriginName,DestinationName,StopPointName,VehicleLocation.Latitude,VehicleLocation.Longitude,AimedArrivalTime,ExpectedArrivalTime,AimedDepartureTime,ExpectedDepartureTime
2025-11-16T00:04:47Z,70131,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,San Carlos Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:05:00Z,2025-11-16T00:04:36Z,2025-11-16T00:05:00Z,2025-11-16T00:05:36Z
2025-11-16T00:04:47Z,70132,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,San Carlos Caltrain Station Southbound,37.5224075,-122.277763,2025-11-16T00:04:00Z,2025-11-16T00:05:58Z,2025-11-16T00:04:00Z,2025-11-16T00:06:58Z
2025-11-16T00:04:47Z,70232,Local Weekend,S,630,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Lawrence Caltrain Station Southbound,37.3751984,-122.020203,2025-11-16T00:03:00Z,2025-11-16T00:06:03Z,2025-11-16T00:03:00Z,2025-11-16T00:07:03Z
2025-11-16T00:04:47Z,70231,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Lawrence Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:07:00Z,2025-11-16T00:06:36Z,2025-11-16T00:07:00Z,2025-11-16T00:07:36Z
2025-11-16T00:04:47Z,70121,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Belmont Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:08:00Z,2025-11-16T00:07:06Z,2025-11-16T00:08:00Z,2025-11-16T00:08:06Z
2025-11-16T00:04:47Z,70142,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Redwood City Caltrain Station Southbound,37.5224075,-122.277763,2025-11-16T00:08:00Z,2025-11-16T00:07:18Z,2025-11-16T00:08:00Z,2025-11-16T00:08:18Z
2025-11-16T00:04:47Z,70031,Local Weekend,N,633,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Bayshore Caltrain Station Northbound,37.6557198,-122.405136,2025-11-16T00:05:00Z,2025-11-16T00:08:30Z,2025-11-16T00:05:00Z,2025-11-16T00:09:30Z
2025-11-16T00:04:47Z,70042,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,South San Francisco Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:10:00Z,2025-11-16T00:09:21Z,2025-11-16T00:10:00Z,2025-11-16T00:10:21Z
2025-11-16T00:04:47Z,70221,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Sunnyvale Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:11:00Z,2025-11-16T00:10:06Z,2025-11-16T00:11:00Z,2025-11-16T00:11:06Z
2025-11-16T00:04:47Z,70242,Local Weekend,S,630,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Santa Clara Caltrain Station Southbound,37.3751984,-122.020203,2025-11-16T00:07:00Z,2025-11-16T00:10:20Z,2025-11-16T00:07:00Z,2025-11-16T00:11:20Z
2025-11-16T00:04:47Z,70111,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Hillsdale Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:11:00Z,2025-11-16T00:10:24Z,2025-11-16T00:11:00Z,2025-11-16T00:11:24Z
2025-11-16T00:04:47Z,70052,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,San Bruno Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:13:00Z,2025-11-16T00:12:00Z,2025-11-16T00:13:00Z,2025-11-16T00:13:00Z
2025-11-16T00:04:47Z,70021,Local Weekend,N,633,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,22nd Street Caltrain Station Northbound,37.6557198,-122.405136,2025-11-16T00:10:00Z,2025-11-16T00:12:22Z,2025-11-16T00:10:00Z,2025-11-16T00:13:22Z
2025-11-16T00:04:47Z,70162,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Menlo Park Caltrain Station Southbound,37.5224075,-122.277763,2025-11-16T00:12:00Z,2025-11-16T00:12:29Z,2025-11-16T00:12:00Z,2025-11-16T00:13:29Z
2025-11-16T00:04:47Z,70101,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Hayward Park Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:13:00Z,2025-11-16T00:12:36Z,2025-11-16T00:13:00Z,2025-11-16T00:13:36Z
2025-11-16T00:04:47Z,70211,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Mountain View Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:15:00Z,2025-11-16T00:14:00Z,2025-11-16T00:15:00Z,2025-11-16T00:15:00Z
2025-11-16T00:04:47Z,70091,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,San Mateo Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:16:00Z,2025-11-16T00:15:06Z,2025-11-16T00:16:00Z,2025-11-16T00:16:06Z
2025-11-16T00:04:47Z,70172,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Palo Alto Caltrain Station Southbound,37.5224075,-122.277763,2025-11-16T00:16:00Z,2025-11-16T00:15:24Z,2025-11-16T00:16:00Z,2025-11-16T00:16:24Z
2025-11-16T00:04:47Z,70062,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Millbrae Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:16:00Z,2025-11-16T00:15:42Z,2025-11-16T00:16:00Z,2025-11-16T00:16:42Z
2025-11-16T00:04:47Z,70201,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,San Antonio Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:18:00Z,2025-11-16T00:17:00Z,2025-11-16T00:18:00Z,2025-11-16T00:18:00Z
2025-11-16T00:04:47Z,70081,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Burlingame Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:18:00Z,2025-11-16T00:17:42Z,2025-11-16T00:18:00Z,2025-11-16T00:18:42Z
2025-11-16T00:04:47Z,70072,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Broadway Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:19:00Z,2025-11-16T00:18:24Z,2025-11-16T00:19:00Z,2025-11-16T00:19:24Z
2025-11-16T00:04:47Z,70192,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,California Avenue Caltrain Station Southbound,37.5224075,-122.277763,2025-11-16T00:19:00Z,2025-11-16T00:18:42Z,2025-11-16T00:19:00Z,2025-11-16T00:19:42Z
2025-11-16T00:04:47Z,70071,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Broadway Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:21:00Z,2025-11-16T00:20:06Z,2025-11-16T00:21:00Z,2025-11-16T00:21:06Z
2025-11-16T00:04:47Z,70191,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,California Avenue Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:21:00Z,2025-11-16T00:20:24Z,2025-11-16T00:21:00Z,2025-11-16T00:21:24Z
2025-11-16T00:04:47Z,70082,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Burlingame Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:21:00Z,2025-11-16T00:20:48Z,2025-11-16T00:21:00Z,2025-11-16T00:21:48Z
2025-11-16T00:04:47Z,70202,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,San Antonio Caltrain Station Southbound,37.5224075,-122.277763,2025-11-16T00:22:00Z,2025-11-16T00:21:30Z,2025-11-16T00:22:00Z,2025-11-16T00:22:30Z
2025-11-16T00:04:47Z,70061,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Millbrae Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:24:00Z,2025-11-16T00:23:00Z,2025-11-16T00:24:00Z,2025-11-16T00:24:00Z
2025-11-16T00:04:47Z,70092,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,San Mateo Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:24:00Z,2025-11-16T00:23:18Z,2025-11-16T00:24:00Z,2025-11-16T00:24:18Z
2025-11-16T00:04:47Z,70171,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Palo Alto Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:24:00Z,2025-11-16T00:23:24Z,2025-11-16T00:24:00Z,2025-11-16T00:24:24Z
2025-11-16T00:04:47Z,70012,Local Weekend,S,636,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,San Francisco Caltrain Station Southbound,37.7759018,-122.395592,2025-11-16T00:25:00Z,,2025-11-16T00:25:00Z,2025-11-16T00:25:00Z
2025-11-16T00:04:47Z,70212,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Mountain View Caltrain Station Southbound,37.5224075,-122.277763,2025-11-16T00:25:00Z,2025-11-16T00:24:48Z,2025-11-16T00:25:00Z,2025-11-16T00:25:48Z
1970-01-01T00:00:00Z,70261,Local Weekend,N,,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,San Jose Diridon Caltrain Station Northbound,,,2025-11-16T00:26:00Z,,2025-11-16T00:26:00Z,2025-11-16T00:26:30Z
2025-11-16T00:04:47Z,70161,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Menlo Park Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:26:00Z,2025-11-16T00:25:54Z,2025-11-16T00:26:00Z,2025-11-16T00:26:54Z
2025-11-16T00:04:47Z,70102,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Hayward Park Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:26:00Z,2025-11-16T00:25:54Z,2025-11-16T00:26:00Z,2025-11-16T00:26:54Z
2025-11-16T00:04:47Z,70051,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,San Bruno Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:27:00Z,2025-11-16T00:26:36Z,2025-11-16T00:27:00Z,2025-11-16T00:27:36Z
2025-11-16T00:04:47Z,70112,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Hillsdale Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:29:00Z,2025-11-16T00:28:18Z,2025-11-16T00:29:00Z,2025-11-16T00:29:18Z
2025-11-16T00:04:47Z,70222,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Sunnyvale Caltrain Station Southbound,37.5224075,-122.277763,2025-11-16T00:29:00Z,2025-11-16T00:28:36Z,2025-11-16T00:29:00Z,2025-11-16T00:29:36Z
2025-11-16T00:04:47Z,70041,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,South San Francisco Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:30:00Z,2025-11-16T00:29:30Z,2025-11-16T00:30:00Z,2025-11-16T00:30:30Z
2025-11-16T00:04:47Z,70022,Local Weekend,S,636,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,22nd Street Caltrain Station Southbound,37.7759018,-122.395592,2025-11-16T00:30:00Z,2025-11-16T00:29:30Z,2025-11-16T00:30:00Z,2025-11-16T00:30:30Z
2025-11-16T00:04:47Z,70141,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Redwood City Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:32:00Z,2025-11-16T00:31:18Z,2025-11-16T00:32:00Z,2025-11-16T00:32:18Z
2025-11-16T00:04:47Z,70122,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Belmont Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:32:00Z,2025-11-16T00:31:18Z,2025-11-16T00:32:00Z,2025-11-16T00:32:18Z
1970-01-01T00:00:00Z,70241,Local Weekend,N,,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Santa Clara Caltrain Station Northbound,,,2025-11-16T00:32:00Z,2025-11-16T00:31:30Z,2025-11-16T00:32:00Z,2025-11-16T00:32:30Z
2025-11-16T00:04:47Z,70232,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Lawrence Caltrain Station Southbound,37.5224075,-122.277763,2025-11-16T00:33:00Z,2025-11-16T00:32:00Z,2025-11-16T00:33:00Z,2025-11-16T00:33:00Z
2025-11-16T00:04:47Z,70132,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,San Carlos Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:34:00Z,2025-11-16T00:33:48Z,2025-11-16T00:34:00Z,2025-11-16T00:34:48Z
2025-11-16T00:04:47Z,70032,Local Weekend,S,636,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Bayshore Caltrain Station Southbound,37.7759018,-122.395592,2025-11-16T00:34:00Z,2025-11-16T00:33:54Z,2025-11-16T00:34:00Z,2025-11-16T00:34:54Z
2025-11-16T00:04:47Z,70131,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,San Carlos Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:35:00Z,2025-11-16T00:34:36Z,2025-11-16T00:35:00Z,2025-11-16T00:35:36Z
2025-11-16T00:04:47Z,70031,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Bayshore Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:35:00Z,2025-11-16T00:34:42Z,2025-11-16T00:35:00Z,2025-11-16T00:35:42Z
1970-01-01T00:00:00Z,70231,Local Weekend,N,,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Lawrence Caltrain Station Northbound,,,2025-11-16T00:37:00Z,2025-11-16T00:36:36Z,2025-11-16T00:37:00Z,2025-11-16T00:37:36Z
2025-11-16T00:04:47Z,70242,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Santa Clara Caltrain Station Southbound,37.5224075,-122.277763,2025-11-16T00:37:00Z,2025-11-16T00:36:42Z,2025-11-16T00:37:00Z,2025-11-16T00:37:42Z
2025-11-16T00:04:47Z,70121,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Belmont Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:38:00Z,2025-11-16T00:37:06Z,2025-11-16T00:38:00Z,2025-11-16T00:38:06Z
2025-11-16T00:04:47Z,70142,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Redwood City Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:38:00Z,2025-11-16T00:37:18Z,2025-11-16T00:38:00Z,2025-11-16T00:38:18Z
2025-11-16T00:04:47Z,70021,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,22nd Street Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:40:00Z,2025-11-16T00:39:06Z,2025-11-16T00:40:00Z,2025-11-16T00:40:06Z
2025-11-16T00:04:47Z,70042,Local Weekend,S,636,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,South San Francisco Caltrain Station Southbound,37.7759018,-122.395592,2025-11-16T00:40:00Z,2025-11-16T00:39:06Z,2025-11-16T00:40:00Z,2025-11-16T00:40:06Z
1970-01-01T00:00:00Z,70221,Local Weekend,N,,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Sunnyvale Caltrain Station Northbound,,,2025-11-16T00:41:00Z,2025-11-16T00:40:06Z,2025-11-16T00:41:00Z,2025-11-16T00:41:06Z
2025-11-16T00:04:47Z,70111,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Hillsdale Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:41:00Z,2025-11-16T00:40:24Z,2025-11-16T00:41:00Z,2025-11-16T00:41:24Z
2025-11-16T00:04:47Z,70162,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Menlo Park Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:42:00Z,2025-11-16T00:41:42Z,2025-11-16T00:42:00Z,2025-11-16T00:42:42Z
2025-11-16T00:04:47Z,70052,Local Weekend,S,636,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,San Bruno Caltrain Station Southbound,37.7759018,-122.395592,2025-11-16T00:43:00Z,2025-11-16T00:42:00Z,2025-11-16T00:43:00Z,2025-11-16T00:43:00Z
2025-11-16T00:04:47Z,70101,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Hayward Park Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:43:00Z,2025-11-16T00:42:36Z,2025-11-16T00:43:00Z,2025-11-16T00:43:36Z
1970-01-01T00:00:00Z,70211,Local Weekend,N,,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Mountain View Caltrain Station Northbound,,,2025-11-16T00:45:00Z,2025-11-16T00:44:00Z,2025-11-16T00:45:00Z,2025-11-16T00:45:00Z
2025-11-16T00:04:47Z,70091,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,San Mateo Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:46:00Z,2025-11-16T00:45:06Z,2025-11-16T00:46:00Z,2025-11-16T00:46:06Z
2025-11-16T00:04:47Z,70172,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Palo Alto Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:46:00Z,2025-11-16T00:45:24Z,2025-11-16T00:46:00Z,2025-11-16T00:46:24Z
2025-11-16T00:04:47Z,70062,Local Weekend,S,636,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Millbrae Caltrain Station Southbound,37.7759018,-122.395592,2025-11-16T00:46:00Z,2025-11-16T00:45:42Z,2025-11-16T00:46:00Z,2025-11-16T00:46:42Z
1970-01-01T00:00:00Z,70201,Local Weekend,N,,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,San Antonio Caltrain Station Northbound,,,2025-11-16T00:48:00Z,2025-11-16T00:47:00Z,2025-11-16T00:48:00Z,2025-11-16T00:48:00Z
2025-11-16T00:04:47Z,70081,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Burlingame Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:48:00Z,2025-11-16T00:47:42Z,2025-11-16T00:48:00Z,2025-11-16T00:48:42Z
